[0000000074ns] mycpu : pc = 1c008020,  reg = 13, val = 1c008000
[0000000092ns] mycpu : pc = 1c008024,  reg = 13, val = 00000000
[0000000130ns] mycpu : pc = 1c008028,  reg = 13, val = 00000001
[0000000148ns] mycpu : pc = 1c00802c,  reg = 13, val = 00000000
[0000000180ns] mycpu : pc = 1c008030,  reg = 13, val = 00000004
[0000000196ns] mycpu : pc = 1c008034,  reg = 14, val = 00000004
[0000000210ns] mycpu : pc = 1c008038,  reg = 13, val = 00000008
[0000000246ns] mycpu : pc = 1c00803c,  reg = 13, val = 000000a3
[0000000264ns] mycpu : pc = 1c008040,  reg = 13, val = 00000000
[0000000306ns] mycpu : pc = 1c008044,  reg = 13, val = 00000800
[0000000324ns] mycpu : pc = 1c008048,  reg = 13, val = 00000000
[0000000354ns] mycpu : pc = 1c00804c,  reg = 12, val = bfaff000
[0000000370ns] mycpu : pc = 1c008050,  reg = 12, val = bfaff050
[0000000396ns] mycpu : pc = 1c008054,  reg = 14, val = 00000017
[0000000410ns] mycpu : pc = 1c008058,  reg = 15, val = 0000003b
[0000000426ns] mycpu : pc = 1c00805c,  reg = 16, val = 00000032
[0000000448ns] mycpu : pc = 1c008060,  reg = 20, val = 00000000
[0000000636ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000000650ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000000688ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000000704ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c008064
[0000000736ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000000754ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000000768ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000000798ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000000832ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000000848ns] mycpu : pc = 1c009004,  reg = 16, val = 00000033
[0000000960ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000000976ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000001010ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000001032ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000001062ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000001078ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000001098ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000001134ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000001172ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000001190ns] mycpu : pc = 1c009004,  reg = 16, val = 00000034
[0000001284ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000001300ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000001334ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000001348ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000001382ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000001402ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000001428ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000001460ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000001494ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000001508ns] mycpu : pc = 1c009004,  reg = 16, val = 00000035
[0000001594ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000001614ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000001656ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000001674ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000001704ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000001718ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000001736ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000001774ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000001806ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000001828ns] mycpu : pc = 1c009004,  reg = 16, val = 00000036
[0000001928ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000001948ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000001982ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000001998ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000002042ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000002062ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000002076ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000002114ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000002156ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000002174ns] mycpu : pc = 1c009004,  reg = 16, val = 00000037
[0000002238ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000002260ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000002298ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000002318ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000002354ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000002370ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000002384ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000002422ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000002454ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000002470ns] mycpu : pc = 1c009004,  reg = 16, val = 00000038
[0000002566ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000002590ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000002624ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000002644ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000002672ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000002688ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000002706ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000002746ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000002778ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000002792ns] mycpu : pc = 1c009004,  reg = 16, val = 00000039
[0000002904ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000002918ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000002948ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000002966ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
